NAME,ADDRESS,MAIL
IQMATRIX INFOWAYS SOLUTIONS PRIVATE LIMITED,"Ground Floor, Padmanabham Building, Technopark, Trivandrum",sasilekha.rajeev@iqmatrix-solutions.com
ITC Infotech India Limited,"404 Thejaswini, Technopark Campus,Thiruvananthapuram,Kerala",ps.rajesh@itcinfotech.com
iTraitz IT Solutions Pvt. Ltd.,"115(S), 1st Floor, Nila Technopark Campus Trivandrum",tthankachan@itraitz.com
IVA (International Virtual Assistance Pvt Ltd),"B-10, Park Centre, Technopark Campus Trivandrum",bd@iva.org.in
JHF IT Services Pvt.Ltd,"Module 8, 4th floor, Gayathri building, Technopark Phase-1 Campus, Thiruvananthapuram",fahad@jhfitservices.com
Kameda Infologics Pvt Ltd,"2nd Floor, Amstor House, Technopark Campus Trivandrum, Kerala.",contact@kamedainfologics.com
Kawika Technologies Pvt Ltd,"Module 12, 4th Floor, Gayathri Building ,Technopark",info@kawikatechnologies.com
KBS Technologies Pvt. Ltd,"Module 7, Basement Floor, Park Centre Technopark, Trivandrum",kbstvm@kbstechsolutions.com
Kefi Tech Solutions Pvt Ltd,"Module D1, Ground Floor, Periyar Building, Phase 1, Technopark Campus Trivandrum, Kerala, India",info@kefitech.com
Kennedys Kognitive Computing Private Limited,"Ground Floor, Chandragiri, Technopark, Trivandrum",contactus@kognitivecomputing.com
Kerala Start-up Mission,"Kerala Start-up Mission, G3B, Thejaswini Building, Technopark Campus, Kariyavattom, Trivandrum",response@startupmission.in
Kerala State Data Center,"Kerala State E-Governance Data Center Thejaswini Building, Basement -1 Floor, Techno park Campus Trivandrum - 695581",binu.jacob@sifycorp.com
"Kerala University of Digital Sciences, Innovation and Technology","Technopark Phase-IV Campus (Technocity), Mangalappuram, Thonnakkal PO, Trivandrum, Kerala",info@duk.ac.in
Kimball Electronics India Pvt. Ltd,"First Floor, Padmanabham Building, Technopark Campus, Karyavattom P.O, Trivandrum, Kerala, India",GESSales@geservs.com
Klystron Technologies,"Office Nbr:2210, Yamuna Building. Technopark Phase-III",hr@klystronglobal.com
Kraftvoll Technologies Private Limited,"Ground Floor, Amstor House Technopark",info@cankado.in
KRISHNANS EDUTECH LLP,"Kerala Startup Mission, Thejaswini Building, Technopark Campus, Trivandrum",support@onlinepsccoaching.com
Kvaliteta Systems and Solutions Pvt Ltd,"SBC 2207,2nd floor,Yamuna Tower Technopark Phase 3 campus Trivandrum-695583",info@kvaliteta.in
LAJU SOFTECH PVT LTD,"Kerala Startup Mission, Ground Floor Thejaswini, Technopark Trivandrum",lajusoftech@gmail.com
LambdaZen India Private Limited,"3rd Floor, Amstor Building, Technopark Campus, Trivandrum",sreesankar@lambdazen.com
LAW QUBE TECHNOLOGIES PVT LTD,"KSUM, THEJASWANI BUILDING, TECHNOPARK, TRIVANDRUM",info@lawqube.com
LEADER IT PRIVATE LIMITED,"SBC 1, -2 FLOOR, THEJASWINI BUILDING, PHASE 1, TECHNOPARK CAMPUS, KARYAVATTOM P O, TRIVANDRUM, KERALA",p.sabir@leadergroup.com
Lean Transitions Solutions,"Basement Floor, Periyar Building, Technopark Phase -1, Trivandrum",info@LTSLean.com
Lightrains Technolabs Pvt Ltd,"G3B, Thejaswini, Technopark Campus, Trivandrum, Kerala",hello@lightrains.com
Litmus7 Systems Consulting Pvt Ltd.,"Phase 3, Yamuna building 2nd floor, SBC Module #2208 Technopark, Trivandrum",info@litmus7.com
Livares Technologies,"Module 2501(B&C), Fifth Floor, Yamuna Building, Technopark Phase 3, Trivandrum.",contact@livares.com
Logidots Technologies Pvt Ltd,"KSUM, G3B Thejaswini",www.logidots.com
LS-APPS Solution Private Limited,"SBC-05, Thejaswini, Technopark , Trivandrum",info@lsapps.in
Lumicel Technologies LLP,"2703, 7th Floor, Yamuna Building (Tower-II) South, Phase III SEZ Campus, Technopark, Trivandrum, Kerala, India",info@lumicel.net
LUMINESCENT SOFTWARE PRIVATE LIMITED,"SBC 2307, 3RD FLOOR, YAMUNA (SEZ) BUILDING, TECHNOPARK PHASE - III, KARYAVATTOM P.O., THIRUVANANTHAPURAM.",info@luminescent.digital
Luxorian System P Ltd,"1 E ,1st Floor, Carnival Technopark, Plot 2 Next to Nila, Technopark Phase 1 Campus, Trivandrum",hrluxoriantechnopark@gmail.com
M2i,M-Squared Building Technopark Campus Thiruvananthapuram,info@m2infotek.com
Macrosoft IT Solutions India Pvt. Ltd,"Module 2302, 3rd Floor, ""Yamuna"" Building, TP Phase III (SEZ)",info@macrosoftindia.com
Macrosoft IT Solutions India Pvt. Ltd,"331, Nila, 3rd Floor, Technopark Phase I",info@macrosoftindia.com
Magnicode Solutions Pvt. Ltd.,"Module 6, Level 4, Nila",sreelal@magnificentcode.com
Marvelloux Apps Pvt Ltd,"Ground Floor, Gayatri Building, Technopark Phase I, Trivandrum",arjun@marvelloux.com
McFadyen Consulting Software India Pvt Ltd,"5th Floor, M-Squared Annex Building Technopark Campus, Kariyavattom PO, Trivandrum",mcfind@mcfadyen.com
Mediscribes Infotech (India) LLP,"Third Floor, Amstor Annex Building, Amstor House",aneesh.p@mediscribes.com
Mediscribes Infotech India LLP,"SBC-6, Second Floor, Ashtamudi Towers, Technopark, Kollam.",aneesh.p@mediscribes.com
MEDITREE SOLUTIONS PVT LTD,"SBC-8 , THIRD FLOOR , ASHTAMUDI BUILDING , TECHNOPARK KUNDARA KOLLAM",ceo@meditreesolutions.com
Mergious IT Solution Pvt Ltd,"KSUM, Ground Floor, Thejaswini",career@mergious.com
Mettle Networks Pvt Ltd,"Floor 3, Amstor House, Technopark Campus, Trivandrum",info@mettlenetworks.com
Mibiz Cyber Forensics Laboratory,"G3B, Thejaswini, Technopark Campus, Thiruvananthapuram, Kerala, India",info@mibizsys.com
Middle East Technologies (P) Ltd.,"405-A, 4th Floor, Thejaswini Building, Technopark Campus, Kerala - 695581. India.",ceo@metechnologies.biz
MINDLOGUE TECHNOLOGIES LTD,"MODULE NO. C-15B, THEJASWINI BUILDING TECHNOPARK, KARIAVATTOM, KAZHAKUTTOM TRIVANDRUM",dialogue@mindlogue.ltd
Mobatia Technology Private Limited,"1st Floor, 1 B, Leela Infopark , Technopark Campus, Trivandrum",info@mobatia.com
Mozanta Technologies Private Limited,"T-5, 7th Floor, Thejaswini, Technopark, Trivandrum",reachus@mozanta.com
M Squared Software & Services (P) Ltd.,M Squared Building Technopark Campus Trivandrum,m2info@m2comsys.com
MUTHOOT PAPPACHAN TECHNOLOGIES LTD.,"14th FLOOR, CARNIVAL TECHNOPARK, TECHNOPARK CAMPUS, KARIYAVATTOM P.O., TRIVANDRUM",jkrishnan@muthoot.com
MyTsys Software Solutions Pvt. Ltd.,"Module No.6, Basement Floor, PARK CENTRE Building, Phase-I Campus, Technopark, Kerala",info@mytsys.com
Naga Info Solutions Pvt Ltd,"Module No 2505, 5th Floor, Yamuna Building, Technopark Phase III",mail@nagainfo.com
NASSCOM,Kerala Regional Office Cubicle 1 First Floor Park Centre Technopark Thiruvananthapuram,kerala@nasscom.in
Navigant BPM India Private Limited,"Mod.111- S. 11th Floor, Ganga, SEZ IT Building, Technopark Phase III Campus, Trivandrum",admintvm@navigantbpm.com
NeedStreet Web Technologies Pvt Ltd,"Padmanabham, Technopark, Trivandrum",info@needstreet.com
NEOLOGIX SOFTWARE SOLUTIONS,"1E, Leela Infopark Building, Technopark, Trivandrum, Kerala, India.",info@nlindia.com
Neonicz Software Solutions Pvt Ltd,"Ground Floor, G3B, Thejaswini Building, Technopark Campus, Kariyavattom, Trivandrum",info@neonicz.com
NetPro Media Advertising Pvt.Ltd,"Second Floor, Amstor Annex Building, Technopark, Trivandrum",hr@netpromediaindia.com
Netroxe IT Solutions Pvt Ltd,"Kerala Startup Mission, G3B, Thejaswini, Technopark.",mail@netroxe.com
NETWALK Technologies (India) Private Limited,"4th Floor, Amstor Annex, Technopark, Trivandrum",info@netwalk.co.in
Neuroplex Private Limited,"Future Technologies Lab, 7th Floor, Thejaswini Building",mail@neuroplex.in
NexGenSm Software Services Private Limited,"SBC 2308,3rd Floor, Yamuna Building, Technopark Phase III, Trivandrum",info@nexgensm.com
NIRAST Solutions Private Limited,"Amstor Building, Technopark Phase-1, Trivandrum",hr@nirasystems.com
NKORR Technologies Pvt Ltd,"4F, Amstor House, Technopark, Trivandrum",info@nkorrtech.com
NOON TECHNOLOGIES PRIVATE LIMITED,"4th Floor, Nila Building, Technopark, Trivandrum, Kerala, India - 695 581",business@noontechnologies.com
Noratel India Power Components Pvt Ltd,"VI Floor, Nila Technopark Trivandrum Kerala, INDIA",info@noratel.in
NXTLIVE TECHNOLOGIES PRIVATE LIMITED,"Thejaswini Building, C-15 B",teamnxt@nxtlive.com
Oitolabs Technologies Private Limited,"Amstor Information Technology (India) Pvt. Ltd. 3rd, Floor, Plot No. 5, Technopark Campus Karyavattom, Trivandrum",finance@oitolabs.io
OptioLogic Technologies Pvt Ltd,"Smart Business Centre Cubicle No.26 , C-Level, (-2) ,Thejaswini building",enquiry@optiologic.com
OrderStack (TNGONE SOFTWARE LABS PRIVATE LIMITED),"1ST FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",contact@orderstack.io
OrisysIndia Consultancy Services LLP,"D3, 6th Floor, Bhavani Building",contact@orisys.in
Ospyn Technologies Pvt Ltd,"408, 4th Floor, Thejaswini, Technopark, Trivandrum, Kerala, India",info@ospyn.com
OZTERN TECHNOLOGY PRIVATE LIMITED,"A-18 A-19, First Floor, Gayathri Building, Technopark, Trivandrum.",info@oztern.com
Palnar Transmedia Pvt Ltd,"2nd Floor, Gayathri Building, Technopark, Trivandrum",hrindia@palnar.com
Pearlsoft Technologies LLP,"Module No.2, -2 floor, Thejaswini Building, Phase I, Technopark, Trivandrum",joinus@pearlsofttechnologies.com
Perfomatix Solutions Private Limited,"Ground Floor, Carnival Technopark, Technopark Campus, Trivandrum",hr@perfomatix.com
Phykon Solutions Private Limited,"L-11, B1, Thejaswini Building, Technopark Campus, Karyavattom, Trivandrum.",board@phykon.com
PICK2HEAL LAB LLP,"G3B, Thejaswini Building, Technopark Campus, Thiruvananthapuram, Kerala",contact@pick2heal.com
PI-DIGI logical Solutions Pvt Ltd,"SBC Module No.30, Basement Floor 2, Thejaswini Technopark Campus",info@pi-digi.com
PIT Solutions Pvt Ltd,"L7 & L8, Thejaswini Technopark, Trivandrum, Kerala, India",enquiries@pitsolutions.com
PIT Solutions Pvt LTD,"Module No. 209-N, 9th Floor, Yamuna, SEZ IT Building, Technopark Phase III, Thiruvananthapuram, Kerala, India",enquiries@pitsolutions.com
Pivotsys Technologies Pvt. Ltd.,"Pivot Systems, Inc. 334 Nila, Technopark Trivandrum",hr-tvm@pivotsys.com
POLUS SOFTWARE PVT LTD,"1A, FIRST FLOOR LEELA INFOPARK TECHNOPARK",hr@polussoftware.com
Prayan Animation Studio Pvt Ltd,"B-12, Tejaswini-1, Technopark, Trivandrum, Kerala India",info@prayananimation.com
Prayan Infotech Pvt. Ltd.,"B-12, Tejaswini-1, Technopark, Trivandrum, Kerala India",info@prayaninfotech.com
Press Ganey Associates India Private Limited,"Level 4 (L1), Thejaswani, Phase 1, Technopark Campus, Trivandrum",hr-pgindia@pressganey.com
Prochant India Pvt ltd,"1st Floor, M-Squared Annexure Building, Technopark Phase-1, Kazhakuttom, Trivandrum",promoindia@prochant.com
PromptTech Middle East Private Ltd.,"Module No 315, Nila Building, Technopark Campus",anuroop@prompttechsolutions.com
Protium Logic IT Services Pvt Ltd,"Module - 11, TBIC Tejaswini, Technopark Trivandrum",business@protiumlogic.com
Proudeon Internet Solutions Pvt Ltd,"B-02 , Ground Floor Pamba Building Technopark Campus",proudeon@gmail.com
QAWebPrints Infocorp,"SBC-6, 1st floor, Ashtamudi Building, Technopark, Kundara, Kollam",info@qawebprints.com
QBurst Technologies Private Limited,"Module No. 107, 7th Floor, Ganga Building, Phase 3 Campus, Technopark, Trivandrum",roseline@qburst.com
QBurst Technologies Pvt. Ltd.,"C22, Thejaswini Technopark Phase 1",hr@qburst.com
Q-DevEngine Private Limited,"Ground Floor, Carnival Technopark Building, Plot No 2 Technopark Campus,Kazhakootam Thiruvananthapuram, Kerala",info@q-devengine.com
QMSmart Technologies Pvt Ltd.,"SBC, Thejaswini Building, Technopark Campus, Trivandrum.",sajitha.s@qsmart.net
QRECH GLOBAL SOLUTIONS PVT LTD,"1st Floor M Squared building, Technopark Campus, Thiruvananthapuram",support@qrech-global.com
Quadance Technologies Pvt. Ltd.,"1st Floor, Amstor House, Plot No. 5, Technopark Campus, Kazhakuttom, Trivandrum",info@quadance.com
Quiits Technologies Private Limited,"SBC Module No 7, 3rd Floor, Ashtamudi Tower, Technopark, Kollam",info@quiits.com
Qworks Technologies Pvt Ltd,"ACE-13, 4th Floor, ACE-CDAC Building, Technopark, Thiruvananthapuram. Kerala.",sruthi@qworks.co
QWY Technologies PVT LTD,"Module No 1, 4th Floor, Gayatri, Technopark, Kazhakoottam, Thiruvananthapuram, Kerala",hr@qwytech.com
Rainconcert Technologies Private Limited,"410, 4th Floor, Thejaswini, Technopark, Trivandrum",info@rainconcert.in
Realeffecx Technolabs LLP,"KSUM, Ground floor, Thejaswini, Technopark campus, Tvm",info@realeffecx.com
REDEFINE (Division of DNEG India Media Services Ltd),"Third Floor, Padmanabham, Technopark Phase 1 Campus Trivandrum",info@redefine.co
REFINED IT SOLUTIONS AND MARKETING PVT LTD,"Module No : 13 , Gayathribuilding , Phase I , Technopark",contact@refined.co.in
Reflections Info Systems Pvt Ltd,"9A2, Carnival Technopark, Thiruvananthapuram, Kerala, India",info@reflectionsinfos.com
REIZEND IT CONSULTANTS,"SBC Module 11, -2 Floor, Thejaswini Building, Technopark phase 1, Trivandrum",info@reizend.in
REIZEND PRIVATE LIMITED,"SBC Module 15, -2 Floor, Thejaswini Building, Technopark phase 1, Trivandrum",info@reizendretail.in
Resfeber Infosolutions Private Limited,"Kerala Startup Mission G3B, Thejaswini, Technopark Campus, Kariyavattom, Thiruvananthapuram, Kerala",kavitha@travelspoc.com
Revyrie Global,"17, Lower Ground 1, Thejaswini, Technopark Campus",hello@revyrieglobal.com
Rewards MysearchGlobal Pvt Ltd,"Module #4, Roof Top, Gayatri Building, Technopark Phase -I, Kazhakuttom",sofinazir@mysearchglobal.com
Reynex Software Pvt Ltd,"C-08, Level (-2), Thejaswini Building, Technopark",sarath@reynex.net
RICHINNOVATIONS,"ICFOSS, 7th Floor, Thejaswini Building, Technopark Campus, Thiruvananthapuram, Kerala, India",hello@richinnovations.in
RICHKEN MEDIA PRIVATE LIMITED,"Module No.2304, 3rd Floor, Yamuna Building, Phase III, Technopark",contact@richkenmedia.com
Riverswave Technologies Pvt. Ltd,"Unit No. 2C, 2nd Floor, Carnival, Technopark Campus, Thiruvananthapuram, Kerala, India",info@riverswavetech.com
Rootlet Technologies Pvt Ltd,"SBC 4, Third Floor, Ashtamudi Tower, SEZ Campus, Technopark Kollam",info@rootlettechnologies.com
RP Techsoft International Private Limited,"9A, Leela Info Park, Plot 2 Technopark, Trivandrum",info@rptechsoft.com
RR Donnelley India Outsource Pvt Ltd.,"6th Floor, Thejaswini Building, Technopark, Kariavattom (PO), Trvandrum",careers.trivandrum@rrd.com
RSGP Consulting Pvt. Ltd.,"Module No. 2504(b), 5th Floor, Yamuna Building, Phase III, Technopark, Trivandrum",hr@rivervalleytechnologies.in
Saasvaap Techies Private Limited,"Module No.B-11, B-12, 3 rd Floor, Gayatri Building, Phase-I Campus,Technopark, Thiruvananthapuram",admin@saasvaap.com
SADA Systems India Pvt Ltd,"CDAC ACE-03, 3rd Floor, CDAC Building, Technopark Campus, Thiruvananthapuram,",connect.india@sada.com
SATURN SYSTEMWARES PRIVATE LIMITED,"FIRST FLOOR, LEELA INFOPARK TECHNOPARK, TRIVANDRUM KERALA STATE, INDIA",business@saturn.in
Scalasoft Global Solutions Private Limited,"5th floor Padmanabham Building, Technopark Campus",info@scalasoftglobal.com
Scientific Vision Pvt Ltd,"TC No. 98/102, M Squared Building, Technopark Campus Kariavattom Thiruvananthapuram",varghese@svsoftware.org
SCSOFT Technologies Pvt Ltd,"Ground Floor, Leela Infopark Building, Technopark, Trivandrum",contact.us@scsoft.com
SEAVIEW SUPPORT SYSTEMS PRIVATE LIMITED,PADMANABHAM TECHNOPARK KARIYAVATTOM P O TRIVANDRUM,info@svw.com
Security Iris,"First Floor, Amstor Annex bulding, technopark campus, kazhakootam",info@securityiris.com
SE-Mentor Solutions (P) Ltd,"2nd Floor, Gayathri Building, Technopark Campus Trivandrum, Kerala, India",info@se-mentor.com
SEPTA MILLES PRIVATE LIMITED (LIFOLOGY),"1ST FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS,KARIYAVATTOM, TRIVANDRUM,KERALA",info@lifology.com
SEQATO Software Solutions Pvt. Ltd.,"Level-1, Nila Building, Technopark Campus",rp@seqato.com
SequoiaAT India Private Limited,"Module No.1A, Ground Floor, PERIYAR Building, Phase-I Campus, Technopark",admin@sequoiaat.com
SFO Technologies Pvt Ltd (A NeST Group Company),"A3, Periyar, Technopark campus, Kariyavattom Trivandrum, Regd office Address SFO Technologies Pvt ltd, Plot 2, Special economic zone, kakkanad, cochin - 682037",reni.jacob@nestgroup.net
ShellSquare Softwares Pvt. Ltd.,"1st floor, Periyar Building, Technopark Phase I, Kerala.",info@shellsquare.com
Shree Deepam Infotech Private Limited,"SBC-23, Thejaswini Building, Technopark, Thiruvananthapuram",mail@deepaminfo.com
SIGTECH WIRELESS TECHNOLOGIES PVT LTD,"Module No : 12 - E , Basement Floor - 1 Thejaswini Building , Technopark Campus Trivandrum - 695 581 Kerala",info@sigtechwireless.com
Simplogics Solutions Pvt Ltd,"Level -1,Thejaswini,Technopark, Trivandrum, Kerala, India",hr@simplogics.com
Sinura Health Information Process Soluions (SHIPS) Pvt Ltd,"2nd Floor, M Squared Building, Technopark, Trivandrum 81",info@sinurasolutions.com
Skywalk Global India Private Limited,"2nd Floor, Gayatri Building, Technopark Phase-I Campus, Trivandrum",contact@skywalkglobal.net
SMARTHMS & SOLUTIONS PRIVATE LIMITED,"SBC 14, -2 Floor, Thejaswini Building, Technopark Phase 1",info@shmsolutions.in
Socius Innovative Global Brains Pvt. Ltd.,"7th floor, Yamuna building , Technopark PhaseIII, Trivandrum.",info@sociusigb.in
Softnotions Technologies Private Limited,"Module No.B, 6 th Floor, Bhavani Building, Phase-I Campus, Technopark, Trivandrum",ronysebastian@softnotions.com
SOLUTINO TECHNOLOGIES PVT LTD,"SBC #24, LEVEL (-2), THEJASWINI, TECHNOPARK TRIVANDRUM, KERALA, INDIA",manaf@solutinotechnologies.com
Somnoware Healthcare Systems Pvt Ltd,"6th Floor, Yamuna Building, SEZ, Technopark Phase 3, Trivandrum",hr_india@somnoware.com
Sparkling Design and Infotech Pvt Ltd,"215 Nila, Technopark, Trivandrum.",info@sparklingapps.com
Spericorn Technology Private Limited,"Spericorn Technology Private Limited, Amstor Building, Technopark Phase I, Trivandrum",info@spericorn.com
Speridian Technologies Pvt Ltd,"8TH FLOOR, MODULE NO 108, GANGA BUILDING, TECHNOPARK PHASE-III CAMPUS, KULATHOOR, TRIVANDRUM",vivek.nair@speridian.com
Speridian Technologies Pvt Ltd,"G2, Thejaswani Campus, Technopark Campus, Trivandrum",info@speridian.com
Spotwriters Technologies Pvt Ltd,"SBC No - 20,Thejaswini Building Technopark Campus, Technopark",hr@spotwriters.com
SREE ANAND TRAVEL & TECHNOLOGIES PVT. LTD.,"SBC-12, Basement Floor 2, Thejaswini Building, Techno Park Campus, Karyavattom (PO), Thiruvananthapuram",hr@anandtravel.com
Srishti Innovative Computer Systems Pvt Ltd,"1 C, 1st Floor, Leela Infopark, Technopark Campus, Trivandrum",support@srishtis.com
SRS Global Technologies Pvt Ltd,"-1 level Floor, Thejaswini Building, Technopark, Karyavattom PO, Thirivananthapuram, Kerala",operations@srsglobaltechnologies.com
Stabilix Solutions Pvt. Ltd.,"Stabilix Solutions Pvt. Ltd., 212, Nila, Technopark, Thiruvananthapuram, Kerala - 695 581, India.",info@stabilix.com
Standout IT Solutions(P) Ltd.,"3rd Floor,NILA",operations@sitstech.com
Steerforth Private Limited,"Basement Floor, Park Centre, Technopark Phase 1, Kariyavattom, Thiruvananthapuram",info@steerforth.in
SUBDINE SOLUTIONS PVT LTD,"G3B, Thejaswini Building, Technopark Campus",contact@subdine.com
SubHosting Innovations Pvt Ltd,"SBC Module No. 2211, 2nd floor, Yamuna Building, Phase III SEZ Campus, Technopark, Thiruvananthapuram",contact@subhosting.net
SUSOPT SOLUTIONS PRIVATE LIMITED,"1ST FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",info@susopt.com
Sweans Technologies Pvt Ltd,"Medisweans solutions 3rd Floor, Gayathri Building Technopark, Trivandrum Kerala, India - 695 581",Info@sweans.com
SYNCRAYONS TECHNOLOGIES PVT LTD,"4th Floor, Amstor House Annexe, Technopark, Trivandrum",rakhee@syncrayons.com
Syntrio Technologies,"2605, 6th Floor, Yamuna, Phase III SEZ Campus, Technopark",info@syntrio.in
Syntrio Technologies Pvt Ltd,"1ST FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",info@syntrio.in
Tangentia Travancore Pvt Ltd,"Suite 2801, 8th Floor, Yamuna Building, Technopark Phase 3, Trivandrum",trivandrum@tangentia.com
Tata Elxsi,4th Floor Yamuna Building Technopark phase 3,info@tataelxsi.com
TBF Technology Pvt Ltd,"Nila 12 - 4th Floor, Technopark , Trivandrum - Kerala",dgm@tbfventures.com
Techband Technologies Private Limited,"SBC-19, Floor (-2), Thejeswini, Technopark, Trivandrum, Kerala, India 695581 Website: www.corpozone.com, www.techband.net",www.corpozone.com
Technograph Digital Solutions Private Limited,"Ashtamudi Tower, Technopark Kollam",shibudass@hotmail.com
Techrista Systems Pvt. Ltd.,"Technopark Campus, 4th Floor, Nila Building",contact@techrista.com
Techstas Info Solutions Private Limited,"Module 9, -2 Floor, Thejaswini Building, Technopark, Thiruvananthapuram, Kerala",info@techstas.com
TECHVANTAGE SYSTEMS PRIVATE LIMITED,"Module L1A, Level -1, Thejaswini, Technopark, Trivandrum and 2nd floor, Amstor House, Technopark campus, phase-1, Trivandrum",info@techvantagesystems.com
Techversant Infotech Pvt. Ltd.,"Module No:2306, Third Floor, Yamuna, Tower II, Technopark Phase III, SEZ Campus, Trivandrum, Kerala",info@techversantinfotech.com
TECHZERA INFOLOGICS PVT LTD,"NO.8,4th Floor, Nila Building, Phase-1 Campus, TECHNOPARK",techzerainfologics@gmail.com
Teraserv Technologies India Private Limited,"2nd Floor, Pamba, Technopark, Trivandrum, Kerala.",trvhr@teranet.ca
Terrific Minds Pvt Ltd,"Floor 2, Msquared Main Building",ranjith@terrificminds.com
Test Company Name,Address,prasanth@technopark.org
Testhouse India Pvt. Ltd.,"II and III Floor, Nila Building, Technopark, Trivandrum, Kerala.",contact@testhouse.net
THINKPALM TECHNOLOGIES PVT LTD,"L-15, TEJASWINI BUILDING, TECHNOPARK TRIVANDRUM",nima.s@thinkpalm.com
ThoughtLine Technologies Pvt. Ltd.,"111, 11th Floor, Ganga ETP Phase III, SEZ Technopark, Kulathur P.O. Trivandrum, Kerala, India",thoughts@thoughtlinetech.com
Thought Ripples Technologies Private Ltd,"4th Floor, Gayathri Building, Technopark, Trivandrum Kerala, India",info@thoughtripples.com
THREE SEAS INFOLOGICS PVT LTD,"-1 Floor, Thejaswini Building, Phase-1 Campus, Technopark",info@threeseasinfologics.com
TILTLABS CONSULTANCY SERVICES PRIVATE LIMITED,"GH, Ground Floor, Carnival Technopark Building, Technopark, Trivandrum, Kerala, India",nikhil@tiltlabs.io
Timesworld Media and Technology Solutions Pvt Ltd,"Office 2305, Yamuna Building Technopark Phase-III Campus, Trivandrum, Kerala",hello@timesworld.com
TKM INFOTECH PVT. LTD.,"4th FLOOR, AMSTOR HOUSE, TECHNOPARK CAMPUS, TRIVANDRUM PHONE : +91 471 6060706 EMail : info@tkminfotech.com",info@tkminfotech.com
Toonz Animation India PVT LTD,731-735 NILA Technopark Campus Trivandrum Kerala India,info@toonzmediagroup.com
TOSIL Systems Private Limited,"ACE 05, 3rd Floor, CDAC Building, Technopark Campus, Kazhakkuttom",tosil@tosil-systems.com
Travancore Analytics (P) Ltd,"Module No: 2805, 8th Floor, Yamuna SEZ IT Building, Phase 3 Campus, Technopark.",contactus@teamta.in
Travanleo Info Solutions India Private Limited,"A 20 , Ground Floor, Gayathri Building, Phase 1",info@travanleo.com
Travelshore Technologies Pvt. Ltd,"Basement Floor, Park Centre, Technopark Phase 1, Kariyavattom, Thiruvananthapuram",admin@travelshore.com
Treez India (Zeert POS Software Development Private Limited),"3rd Floor, Amstor Building, Technopark",sree.sankar@treez.io
TRENSER Technology Solutions (P) Limited,"Ground Floor, Nila Building, Technopark Campus, Trivandrum, Kerala, India,",trenser@trenser.com
Triassic Solutions Private Limited,"Plot 2, 1G, Leela Infopark, Technopark, Trivandrum, Kerala",hr@triassicsolutions.com
TRIVAND TECHNOLOGIES PVT LTD.,"MODULE 406-A, 4th Floor, Thejaswini, Technopark, Trivandrum.",info@trivand.com
Trizent Technologies Private Limited,"Module No. 17, SBC, Thejaswini, Phase 1, Technopark, Thiruvananthapuram, Kerala, India",vinod@trizentinc.com
Trois Infotech Pvt. Ltd.,"-2 Floor, KSUM, Thejaswini Building, Technopark, Trivandrum",info@trois.in
Troodon Technology,"Module No:16, Fourth Floor, Gayatri Building, Technopark Campus",info@troodontechnology.com
Tryzens India Pvt Limited,"3rd Floor, M Squared Annex Building Technopark, Trivandrum",Indiafrontoffice@tryzens.com
Tryzens India Pvt Ltd,"Module No. 110-N, 10th Floor, Ganga building, Technopark Phase-III Campus, Trivandrum",aniyan.rajendra@tryzens.com
Twinsway Technologies Pvt Ltd,"Park Center Building, Module.4, Basement Floor, Technopark",hr@twinsway.in
UPSKILL INNOVATIVE SOLUTIONS PRIVATE LIMITED,"ETP SEZ Phase III, Module No 2606, 6'n Floor, Yamuna, Technopark, Kariyavattom, Thiruvananthapuram",sujin.mathew@olivegroup.io
UVJ Technologies Pvt Ltd,"Amstor Annex Building, Technopark, Trivandrum",info@calpinetech.com
Vanilla Networks Pvt. Ltd.,"Module 012, Nila Building, Technopark Campus Trivandrum",technopark@vanillanetworks.com
Velosit Info Lab Private Limited,"G3B, Ground Floor, Thejaswini Building, Technopark Campus, Trivandrum",mail@velosit.in
VENTURA SYSTEMS PRIVATE LIMITED,"SBC- 8, Ashtamudi Tower, SEZ Building, Technopark Kollam, Kundara",md@venturasystems.co
VERISTICS NETWORKS PVT.LTD,"D-2 MODULE,6TH FLOOR, BHAVANI BUILDING, TECHNOPARK",info@veristics.in
VIMEG SQUARE TECHNOLOGIES PRIVATE LIMITED,"L-12B, -1 floor, Thejaswini, Phase-1, Technopark",info@vimegsquare.com
VINVISH TECHNOLOGIES PVT. LTD.,"C-16, THEJASWINI BUILDING, TECHNOPARK, THIRUVANANTHAPURAM, KERALA, INDIA.",info@vinvish.com
Virtus IT Services Pvt Ltd,"A20-21, Gayatri, Technopark Campus, Trivandrum",info@virtusindia.com
Visual Graphics Computing Services India Pvt. Ltd. (McKinsey Business Presentation Design Services),Visual Graphics Computing Services India Pvt. Ltd. (McKinsey Business Presentation Design Services) Leela Infopark Technopark Campus Trivandrum Kerala,vg.careers@mckinsey.com
VOXFOREM TECHNOLOGIES PRIVATE LIMITED,"Module num:421, 4th Floor Nila Building, Phase-1 Campus, Technopark, Trivandrum, Kerala",info@voxforem.org
